filename,filepath,type,category,subcategory,emotion,language,speaker_id,utterance_id,label,transcription,dataset
a01 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a01 (1).wav,speech,emotional,anger,anger,,1,01,anger,,ActedEmo
a01 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a01 (2).wav,speech,emotional,anger,anger,,2,01,anger,,ActedEmo
a01 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a01 (3).wav,speech,emotional,anger,anger,,3,01,anger,,ActedEmo
a01 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a01 (4).wav,speech,emotional,anger,anger,,4,01,anger,,ActedEmo
a01 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a01 (5).wav,speech,emotional,anger,anger,,5,01,anger,,ActedEmo
a01 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a01 (6).wav,speech,emotional,anger,anger,,6,01,anger,,ActedEmo
a02 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a02 (1).wav,speech,emotional,anger,anger,,1,02,anger,,ActedEmo
a02 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a02 (2).wav,speech,emotional,anger,anger,,2,02,anger,,ActedEmo
a02 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a02 (3).wav,speech,emotional,anger,anger,,3,02,anger,,ActedEmo
a02 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a02 (4).wav,speech,emotional,anger,anger,,4,02,anger,,ActedEmo
a02 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a02 (5).wav,speech,emotional,anger,anger,,5,02,anger,,ActedEmo
a02 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a02 (6).wav,speech,emotional,anger,anger,,6,02,anger,,ActedEmo
a03 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a03 (1).wav,speech,emotional,anger,anger,,1,03,anger,,ActedEmo
a03 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a03 (2).wav,speech,emotional,anger,anger,,2,03,anger,,ActedEmo
a03 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a03 (3).wav,speech,emotional,anger,anger,,3,03,anger,,ActedEmo
a03 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a03 (4).wav,speech,emotional,anger,anger,,4,03,anger,,ActedEmo
a03 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a03 (5).wav,speech,emotional,anger,anger,,5,03,anger,,ActedEmo
a03 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a03 (6).wav,speech,emotional,anger,anger,,6,03,anger,,ActedEmo
a04 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a04 (1).wav,speech,emotional,anger,anger,,1,04,anger,,ActedEmo
a04 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a04 (2).wav,speech,emotional,anger,anger,,2,04,anger,,ActedEmo
a04 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a04 (3).wav,speech,emotional,anger,anger,,3,04,anger,,ActedEmo
a04 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a04 (4).wav,speech,emotional,anger,anger,,4,04,anger,,ActedEmo
a04 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a04 (5).wav,speech,emotional,anger,anger,,5,04,anger,,ActedEmo
a04 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a04 (6).wav,speech,emotional,anger,anger,,6,04,anger,,ActedEmo
a05 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a05 (1).wav,speech,emotional,anger,anger,,1,05,anger,,ActedEmo
a05 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a05 (2).wav,speech,emotional,anger,anger,,2,05,anger,,ActedEmo
a05 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a05 (3).wav,speech,emotional,anger,anger,,3,05,anger,,ActedEmo
a05 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a05 (4).wav,speech,emotional,anger,anger,,4,05,anger,,ActedEmo
a05 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a05 (5).wav,speech,emotional,anger,anger,,5,05,anger,,ActedEmo
a05 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a05 (6).wav,speech,emotional,anger,anger,,6,05,anger,,ActedEmo
a06 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a06 (1).wav,speech,emotional,anger,anger,,1,06,anger,,ActedEmo
a06 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a06 (2).wav,speech,emotional,anger,anger,,2,06,anger,,ActedEmo
a06 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a06 (3).wav,speech,emotional,anger,anger,,3,06,anger,,ActedEmo
a06 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a06 (4).wav,speech,emotional,anger,anger,,4,06,anger,,ActedEmo
a06 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a06 (5).wav,speech,emotional,anger,anger,,5,06,anger,,ActedEmo
a06 (5)b.wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a06 (5)b.wav,speech,emotional,anger,anger,,5,06,anger,,ActedEmo
a06 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a06 (6).wav,speech,emotional,anger,anger,,6,06,anger,,ActedEmo
a07 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a07 (1).wav,speech,emotional,anger,anger,,1,07,anger,,ActedEmo
a07 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a07 (2).wav,speech,emotional,anger,anger,,2,07,anger,,ActedEmo
a07 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a07 (3).wav,speech,emotional,anger,anger,,3,07,anger,,ActedEmo
a07 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a07 (4).wav,speech,emotional,anger,anger,,4,07,anger,,ActedEmo
a07 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a07 (5).wav,speech,emotional,anger,anger,,5,07,anger,,ActedEmo
a07 (6).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a07 (6).wav,speech,emotional,anger,anger,,6,07,anger,,ActedEmo
a08 (1).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a08 (1).wav,speech,emotional,anger,anger,,1,08,anger,,ActedEmo
a08 (2).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a08 (2).wav,speech,emotional,anger,anger,,2,08,anger,,ActedEmo
a08 (3).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a08 (3).wav,speech,emotional,anger,anger,,3,08,anger,,ActedEmo
a08 (4).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a08 (4).wav,speech,emotional,anger,anger,,4,08,anger,,ActedEmo
a08 (5).wav,Speech Audio\Acted Emotional Speech Dynamic Database\Acted Emotional Speech Dynamic Database\anger\a08 (5).wav,speech,emotional,anger,anger,,5,08,anger,,ActedEmo
